start,end,first,last,name,image
1980,,Ivan,Kafka,Untitled,
1981,,Magdaléna,Jetelová,Židle,artworks/Jetelova.jpg
1983,,Judl,Stanislav,Lacetka,artworks/Judl.jpg
1983,,Ivan ,Kafka,Zavěšení,artworks/Kafka_zaveseni.jpg
1984,,Jaroslav,Róna,Jaro na vsi,artworks/Rona.jpg
1986,,Michal,Gabriel,Untitled,artworks/Gabriel.jpg
1986,,Jiří,Sopko,Modrý jezdec,artworks/Sopko.jpg
1987,,Petr,Nikl,Klubání,artworks/Nikl.jpg
1987,,Michael,Rittstein,Zabíjačka,artworks/Rittstein.jpg
1988,,Kurt,Gebauer,Český rybník,artworks/Gebauer.jpg
1989,,Jiří,Načeradský,Bora-Bora,artworks/Naceradsky.jpg
1989,,Antonín,Střížek,Čísla,artworks/Strizek.jpg
